actor_id,actor_name,actor_facebook_likes
1,"CCH Pounder",1000
2,"Johnny Depp",40000
3,"Christoph Waltz",11000
4,"Tom Hardy",27000
5,"Doug Walker",131
6,"Daryl Sabara",640
7,"J.K. Simmons",24000
8,"Brad Garrett",799
9,"Chris Hemsworth",26000
10,"Alan Rickman",25000
11,"Henry Cavill",15000
12,"Kevin Spacey",18000
13,"Giancarlo Giannini",451
14,"Peter Dinklage",22000
15,"Will Smith",10000
16,"Aidan Turner",5000
17,"Emma Stone",15000
18,"Mark Addy",891
19,"Christopher Lee",16000
20,"Naomi Watts",6000
21,"Leonardo DiCaprio",29000
22,"Robert Downey Jr.",21000
23,"Liam Neeson",14000
24,"Bryce Dallas Howard",3000
25,"Albert Finney",883
26,"Hugh Jackman",20000
27,"Steve Buscemi",12000
28,"Glenn Morshower",894
29,"Bingbing Li",974
30,"Tim Holmes",44000
31,"Jeff Bridges",12000
32,"Joe Mantegna",1000
33,"Ryan Reynolds",16000
34,"Tom Hanks",15000
35,"Christian Bale",23000
36,"Jason Statham",26000
37,"Peter Capaldi",17000
38,"Jennifer Lawrence",34000
39,"Benedict Cumberbatch",19000
40,"Eddie Marsan",979
41,"Jake Gyllenhaal",15000
42,"Charlie Hunnam",16000
43,"Harrison Ford",11000
44,"A.J. Buckley",275
45,"Kelly Macdonald",2000
46,"Sofia Boutella",998
47,"John Ratzenberger",1000
48,"Tzi Ma",268
49,"Oliver Platt",1000
50,"Robin Wright",18000
51,"Channing Tatum",17000
52,"Jim Broadbent",1000
53,"Amy Poehler",1000
54,"ChloŞ€ Grace Moretz",17000
55,"Jet Li",5000
56,"Jimmy Bennett",87000
57,"Tom Cruise",10000
58,"Jeanne Tripplehorn",711
59,"Joseph Gordon-Levitt",23000
60,"Scarlett Johansson",19000
61,"Angelina Jolie Pitt",11000
62,"Gary Oldman",10000
63,"Tamsin Egerton",622
64,"Keanu Reeves",18000
65,"Jon Hamm",4000
66,"Judy Greer",2000
67,"Damon Wayans Jr.",756
68,"Jack McBrayer",975
69,"Vivica A. Fox",890
70,"Gerard Butler",18000
71,"Nick Stahl",648
72,"Bradley Cooper",14000
73,"Matthew McConaughey",11000
74,"Mark Chinnery",544
75,"Paul Walker",23000
76,"Brad Pitt",11000
77,"Nicolas Cage",12000
78,"Justin Timberlake",3000
79,"Dominic Cooper",3000
80,"Bruce Spence",531
81,"Jennifer Garner",3000
82,"Zack Ward",662
83,"Anthony Hopkins",12000
84,"Robert Pattinson",21000
85,"Janeane Garofalo",1000
86,"Bernie Mac",1000
87,"Robin Williams",49000
88,"Essie Davis",309
89,"Josh Gad",1000
90,"Steve Bastoni",234
91,"Kelli Garner",730
92,"Matthew Broderick",2000
93,"Seychelle Gabriel",1000
94,"Philip Seymour Hoffman",22000
95,"Elisabeth Harnois",921
96,"Ty Burrell",3000
97,"Jada Pinkett Smith",851
98,"Toby Stephens",769
99,"Ed Begley Jr.",783
100,"Bruce Willis",13000
101,"John Michael Higgins",957
102,"Sam Shepard",820
103,"Matt Frewer",986
104,"Kevin Rankin",820
105,"Chris Evans",11000
106,"Colin Salmon",766
107,"James D'Arcy",613
108,"Don Johnson",982
109,"Mark Rylance",535
110,"Matt Damon",13000
111,"Jim Parsons",17000
112,"Salma Hayek",4000
113,"Toby Jones",2000
114,"Daniel Radcliffe",11000
115,"Alfre Woodard",1000
116,"Rupert Grint",10000
117,"Miguel Ferrer",688
118,"Ronny Cox",605
119,"Tony Curran",845
120,"Jeremy Renner",10000
121,"Michael Gough",920
122,"Clint Howard",1000
123,"Karen Allen",784
124,"Suraj Sharma",774
125,"Demi Moore",2000
126,"Michael Fassbender",13000
127,"Nathan Lane",886
128,"Vin Diesel",14000
129,"Scott Porter",690
130,"Shelley Conn",273
131,"Morgan Freeman",11000
132,"Natalie Portman",20000
133,"Alain Delon",936
134,"Noel Fisher",833
135,"Phaldut Sharma",39
136,"Jamie RenŞ¸e Smith",650
137,"Stephen Amell",5000
138,"Tim Blake Nelson",596
139,"Dwayne Johnson",12000
140,"Vincent Schiavelli",811
141,"Heath Ledger",13000
142,"Kate Winslet",14000
143,"James Corden",480
144,"George Peppard",669
145,"Eva Green",6000
146,"Mahadeo Shivraj",383
147,"Jacob Tremblay",681
148,"Jason Patric",673
149,"Sean Hayes",760
150,"Chazz Palminteri",979
151,"Oprah Winfrey",852
152,"Mathew Buck",5
153,"Del Zamora",752
154,"Djimon Hounsou",3000
155,"Cary-Hiroyuki Tagawa",1000
156,"Joe Morton",780
157,"Denzel Washington",18000
158,"Jamie Lee Curtis",2000
159,"Robert De Niro",22000
160,"Vanessa Williams",1000
161,"Eartha Kitt",558
162,"Catherine O'Hara",925
163,"Josh Hutcherson",14000
164,"Jake Busey",660
165,"Abbie Cornish",2000
166,"Frances Conroy",827
167,"Will Ferrell",8000
168,"Ray Winstone",1000
169,"Jamie Kennedy",490
170,"Rosario Dawson",3000
171,"Francesca Capaldi",144
172,"Ben Gazzara",623
173,"Jon Lovitz",11000
174,"Ioan Gruffudd",2000
175,"Milla Jovovich",14000
176,"Chris Noth",962
177,"Frank Welker",2000
178,"Hayley Atwell",2000
179,"Michael Imperioli",873
180,"Alexander Gould",1000
181,"Orlando Bloom",5000
182,"Michael Jeter",693
183,"James Franco",11000
184,"Martin Short",770
185,"Dennis Quaid",2000
186,"Holly Hunter",1000
187,"Christopher Masterson",1000
188,"Logan Lerman",8000
189,"Mei MelanŞÏon",191
190,"Will Forte",622
191,"Denis Leary",835
192,"Adam Scott",3000
193,"Bill Murray",13000
194,"Ming-Na Wen",2000
195,"Leonard Nimoy",12000
196,"Bella Thorne",35000
197,"Adam Sandler",11000
198,"Haley Joel Osment",3000
199,"Marsha Thomason",691
200,"Greg Grunberg",833
201,"Curtiss Cook",591
202,"Alun Armstrong",192
203,"Don Cheadle",3000
204,"Anne Hathaway",11000
205,"William Smith",919
206,"Paddy Considine",680
207,"Shirley Henderson",887
208,"Jeff Bennett",283
209,"Caroline Dhavernas",544
210,"Meryl Streep",11000
211,"Al Pacino",14000
212,"Jon Favreau",4000
213,"Bob Hoskins",5000
214,"F. Murray Abraham",670
215,"Li Gong",879
216,"Amber Stevens West",584
217,"Raymond Cruz",672
218,"Roy Scheider",813
219,"Julia Roberts",8000
220,"Anna Kendrick",10000
221,"Larry Miller",611
222,"Sarah Michelle Gellar",4000
223,"Wood Harris",409
224,"Ted Danson",875
225,"Kristen Stewart",17000
226,"Seth MacFarlane",3000
227,"Robert Duvall",3000
228,"Tia Carrere",1000
229,"Elden Henson",577
230,"Roger Rees",1000
231,"Vanessa Redgrave",898
232,"Elizabeth Montgomery",1000
233,"Quincy Jones",340
234,"Charlize Theron",9000
235,"Michael Emerson",2000
236,"Nissim Renard",23
237,"Bruce Greenwood",981
238,"Sylvester Stallone",13000
239,"Charlie Rowe",882
240,"Richard Tyson",743
241,"Brendan Fraser",3000
242,Fergie,529
243,"Olivia Williams",766
244,"Adam Goldberg",1000
245,"Bob Neill",2
246,"Mia Farrow",563
247,"Pedro ArmendŞµriz Jr.",67
248,"David Oyelowo",1000
249,"Sasha Roiz",795
250,"Sariann Monaco",163
251,"Steve Coogan",1000
252,"Jason Flemyng",1000
253,"Steve Carell",7000
254,"Ariana Richards",610
255,"Jerry Stiller",719
256,"Harold Perrineau",1000
257,"Nicholas Lea",867
258,"Loretta Devine",912
259,"Adam Arkin",374
260,"Ayelet Zurer",745
261,"Tom Selleck",19000
262,"Julia Ormond",919
263,"Bai Ling",582
264,"Connie Nielsen",933
265,"Christopher Meloni",3000
266,"Peter Coyote",548
267,Raven-SymonŞ¸,1000
268,"Mhairi Calvey",906
269,"Albert Brooks",745
270,"Martin Landau",940
271,"David Gant",21
272,"Rory Culkin",710
273,"Rupert Everett",692
274,"Tim Conway",870
275,"Lili Taylor",960
276,"Nicole Beharie",898
277,"Sanaa Lathan",886
278,"LeVar Burton",1000
279,"David Hyde Pierce",443
280,"Jeremy Irvine",25000
281,"Michael Biehn",2000
282,"Frank Langella",903
283,"Gary Cole",989
284,"Theo James",5000
285,"James Martin Kelly",394
286,"LL Cool J",1000
287,"Talisa Soto",349
288,"Ron Howard",2000
289,"Lea Michele",2000
290,"Charlotte Rampling",844
291,"Roxanne McKee",576
292,"Vincent Pastore",584
293,"Max Minghella",614
294,"Jenna Fischer",966
295,"Michael Raymond-James",788
296,"Rufus Sewell",3000
297,"Will Patton",537
298,"Hector Elizondo",995
299,"Colin Firth",14000
300,"Rami Malek",3000
301,"Goran Visnjic",1000
302,"Judge Reinhold",901
303,"Finn Wittrock",769
304,"Clint Eastwood",16000
305,"Delroy Lindo",848
306,"Sayed Badreya",600
307,"QuvenzhanŞ¸ Wallis",2000
308,"Lea Thompson",1000
309,"Maura Tierney",509
310,"Melina Kanakaredes",394
311,"Pamela Reed",324
312,"Michael Rapaport",975
313,"Caitlin Stasey",623
314,"Ian McNeice",268
315,"Michael Kelly",963
316,"Michael Smiley",177
317,"Verne Troyer",645
318,"Wayne Knight",967
319,"Si Won Choi",21
320,"Shawna Waldron",524
321,"Craig Stark",46000
322,"Eric Dane",2000
323,"Jill Hennessy",419
324,"Patrick Fugit",835
325,"Izabella Scorupco",394
326,"Daniel von Bargen",577
327,"Natascha McElhone",2000
328,"Anjelica Huston",1000
329,"Carol Ann Susi",3000
330,"Dorian Missick",1000
331,"Taylor Lautner",12000
332,"Ki Hong Lee",988
333,"Billy Burke",2000
334,"Misha Gabriel Hamilton",433
335,"Estella Warren",658
336,"Jennifer Saunders",309
337,"Zooey Deschanel",11000
338,"Snoop Dogg",881
339,"Jim Belushi",854
340,"James Babson",366
341,"Ivana Milicevic",834
342,"Emma Watson",9000
343,"Bianca Kajlich",732
344,"Romany Malco",966
345,"Peter Greene",789
346,"Colm Feore",539
347,"Gary Dourdan",1000
348,"Tate Donovan",650
349,"Isaac Hempstead Wright",874
350,"Eileen Brennan",1000
351,"Ryan Gosling",33000
352,"Olivia Wilde",10000
353,"Steven Anthony Lawrence",1000
354,"Blair Brown",310
355,"Cedric the Entertainer",436
356,"Bojana Novakovic",2000
357,"John Kapelos",510
358,"Sunny Mabrey",287
359,"Josh Wingate",865
360,"Sean Pertwee",722
361,"Clifton Collins Jr.",968
362,"Robert Forster",889
363,"Matt Bomer",20000
364,"Marc Blucas",973
365,"Dougray Scott",794
366,"Kelly Preston",743
367,"Odeya Rush",2000
368,"Nate Richert",870
369,"Jon Heder",970
370,"Taylor Negron",1000
371,"Robert Baker",142
372,"Barry Corbin",883
373,"Jesse McCartney",1000
374,"Marlon Brando",10000
375,"Alyson Hannigan",3000
376,"Mila Kunis",15000
377,"Eric Idle",795
378,"Erika Christensen",931
379,"David Carradine",926
380,"Christopher Judge",847
381,"Xander Berkeley",485
382,"Madeline Carroll",1000
383,"Charles S. Dutton",534
384,"Andrea Corr",57
385,"Tom Wilkinson",1000
386,"Julie Walters",838
387,"Eddie Redmayne",13000
388,"Billy Campbell",789
389,"Stephen Root",939
390,"Sophia Myles",956
391,"Denis Lavant",226
392,"James Mason",617
393,"Norman Reedus",12000
394,"Todd Stashwick",277
395,"Margot Kidder",593
396,"Todd Giebenhain",117
397,"Kirsten Dunst",4000
398,"Quentin Tarantino",16000
399,"Jennifer Ehle",1000
400,"Alice Greczyn",631
401,"Matt Price",134
402,"Kasia Smutniak",211
403,"Jaime King",961
404,"Rob Paulsen",677
405,"Kathleen Freeman",145
406,"Lupe Ontiveros",625
407,"Joel Courtney",1000
408,"Bill Duke",1000
409,"Dylan Walsh",426
410,"Fann Wong",154
411,"Bernard Hill",416
412,"Scoot McNairy",660
413,"Olivier Martinez",838
414,"Alex Pettyfer",15000
415,"Viggo Mortensen",10000
416,"Deborah Kara Unger",495
417,"Radha Mitchell",992
418,"Matt Walsh",490
419,"Louis Lombardi",437
420,"Armin Mueller-Stahl",294
421,"Mike Starr",854
422,"Amber Valletta",627
423,"ShŞ® Kosugi",330
424,"David Jason",325
425,"Muse Watson",45000
426,"J.D. Evermore",430
427,"Grey Damon",629
428,"Christina Milian",1000
429,"Paul Brooke",51
430,"Mia Kirshner",972
431,"Julie Benz",3000
432,"Ian Ziering",984
433,"Alden Ehrenreich",1000
434,"Chris Klein",841
435,"Tobias Menzies",1000
436,"Lauren Holly",879
437,"Michael O'Neill",599
438,"P.J. Soles",598
439,"Corinna Harney",779
440,"Nandita Das",113
441,"Charlie Korsmo",678
442,"Mark Margolis",1000
443,"Rosie Perez",919
444,"Donatas Banionis",29
445,"Joseph Gilgun",788
446,"Laurence Olivier",1000
447,"Jonathan Winters",924
448,"Regina Hall",807
449,"Candice Bergen",545
450,"Bradley Whitford",821
451,"Natasha Lyonne",1000
452,"Bill Cobbs",970
453,"Sydney Pollack",521
454,"Adam Garcia",811
455,"Lucille Ball",6000
456,"Dania Ramirez",1000
457,"DemiŞµn Bichir",749
458,"Richard Burgi",550
459,"Kevin McNally",427
460,"Virginia Madsen",913
461,"Jim Sturgess",5000
462,"Alexa PenaVega",2000
463,"John de Lancie",905
464,"Malese Jow",1000
465,"Costas Mandylor",723
466,"Marcela Mar",267
467,"Pierre Perrier",164
468,"Sam Waterston",849
469,"Daniel Kaluuya",219
470,"Clea DuVall",1000
471,"Mel Blanc",1000
472,"Judith Chapman",44
473,"Augustus Prew",405
474,"Imelda Staunton",579
475,"John Witherspoon",723
476,"Debra Messing",650
477,Bono,468
478,"Robert Davi",683
479,"Fisher Stevens",922
480,"Tony Cox",624
481,"Omar Sy",1000
482,"Mekhi Phifer",1000
483,"Jamel Debbouze",326
484,"Julian Sands",687
485,"Robert Clohessy",107
486,"Joel McHale",734
487,"Martin Kove",668
488,"Bruce Greenwood",984
489,"Tom Welling",3000
490,"Jerry Ferrara",480
491,"Javier Botet",1000
492,"Andrew Garfield",10000
493,"Carmen Perez",97
494,"Beau Mirchoff",2000
495,"Kelly Rutherford",287
496,"Olivia Munn",2000
497,"Wes Studi",855
498,"Bokeem Woodbine",904
499,"Jason Alexander",700
500,"Sally Kirkland",433
501,"Matthew Perry",2000
502,"Krista Allen",164000
503,"Joaquim de Almeida",578
504,Pink,836
505,"Lisa Ann Walter",1000
506,"Michael Jai White",2000
507,"Rudy Youngblood",708
508,"Joe Don Baker",387
509,"Topher Grace",2000
510,"Brian Dennehy",954
511,"Gena Rowlands",545
512,"Busy Philipps",1000
513,"Johnny Cannizzaro",880
514,"Lorraine Bracco",472
515,"Sam Trammell",1000
516,"Macaulay Culkin",3000
517,"Bobby Lee",176
518,"Miriam Margolyes",405
519,"Alison Brie",2000
520,"Michael Wincott",720
521,"James Wilcox",683
522,"Emma Bell",703
523,"Jimmy Fallon",787
524,"Bruce Dinsmore",51
525,"Noah Bean",293
526,"50 Cent",1000
527,"Oliver Hudson",607
528,"Catherine Deneuve",964
529,"Stephen Rea",327
530,"Jordi MollŞÒ",877
531,"Mira Sorvino",978
532,"Dane Cook",1000
533,"Bobbie Phillips",16000
534,"Carol Kane",636
535,"Richard Epcar",782
536,"Mathieu Kassovitz",326
537,"Mary-Kate Olsen",976
538,"Omar Epps",865
539,"Justin Theroux",1000
540,"M. Emmet Walsh",521
541,"Bridgette Wilson-Sampras",545
542,"John Gatins",61
543,"Sarah Roemer",884
544,"James Brolin",499
545,"Jennifer Jason Leigh",1000
546,"Jay Hernandez",1000
547,"Tamannaah Bhatia",218
548,"Arliss Howard",152
549,"Colin Ferguson",747
550,"Adam Baldwin",2000
551,"Takeshi Kaneshiro",755
552,"Ethan Embry",982
553,"Austin Pendleton",592
554,"Tony Chiu Wai Leung",643
555,"Blythe Auffarth",76
556,"Sarah Silverman",931
557,"D.B. Woodside",598
558,"Sonia Braga",308
559,"Beth Grant",628
560,Mo'Nique,940
561,"Wilford Brimley",957
562,"Gregory Scott Cummins",37
563,"Tom Skerritt",1000
564,"Mike Howard",378
565,"Hayden Christensen",4000
566,"Patton Oswalt",786
567,Laura-Leigh,740
568,"Yuliya Snigir",463
569,"Kathleen Quinlan",551
570,"Bernie Casey",180
571,"Charlie McDermott",496
572,"Rick Yune",746
573,"Blair Underwood",685
574,"Stockard Channing",944
575,"Cheryl Hines",541
576,"Mike Tyson",461
577,"Rene Russo",808
578,"Catherine Dyer",768
579,"Jon Foo",778
580,"Amy Schumer",492
581,"Michael Angarano",947
582,"Natasha Henstridge",900
583,"Dylan Baker",812
584,"Scott Glenn",826
585,"Charlyne Yi",529
586,"Craig Parker",978
587,"Heather O'Rourke",887
588,"Danneel Ackles",1000
589,"Ashley Williams",969
590,"Jodi Lyn O'Keefe",897
591,"Tatum O'Neal",288
592,"Emilia Fox",396
593,"Keisha Castle-Hughes",446
594,"Robert Ri'chard",730
595,Aaliyah,775
596,"Brian Blessed",591
597,"Cicely Tyson",907
598,"Daniel Mays",287
599,"Frank Whaley",436
600,"Mitch Pileggi",826
601,"Ken Arnold",327
602,"Drake Bell",1000
603,"Alona Tal",1000
604,"Shannon Elizabeth",1000
605,"Jim Gaffigan",472
606,"Alex Russell",465
607,"Rosanna Arquette",605
608,"Tim Meadows",553
609,"Gregory Smith",694
610,"Michiel Huisman",2000
611,"Paul Sorvino",635
612,"Mireille Enos",1000
613,"Kevin Zegers",2000
614,"Marley Shelton",690
615,"Archie Panjabi",883
616,"Ruth Wilson",2000
617,"Oliver Reed",695
618,"Olivier Martinez",837
619,"Jeremy W. Auman",3
620,"Maricel Şlvarez",30
621,"Tamsin Egerton",621
622,"Richard E. Grant",554
623,"David Paymer",372
624,"Rumi Hiiragi",6
625,"Tiago Riani",989
626,"Liam Aiken",818
627,"Terry Pheto",113
628,"Nia Long",826
629,"Kyle Hebert",324
630,"Ryan Guzman",3000
631,"Lin Shaye",852
632,"Laura Harring",669
633,"Ryan Kruger",165
634,"James Coburn",773
635,"Ana de la Reguera",678
636,"Matt Lucas",722
637,"Brandon T. Jackson",918
638,"Illeana Douglas",344
639,"Callum Rennie",716
640,"Ken Howard",649
641,"Frances Fisher",638
642,"Alice Braga",1000
643,"George Kennedy",3000
644,"Joan Plowright",330
645,"Rob Riggle",839
646,"Alicia Witt",975
647,"Desmond Llewelyn",244
648,"Sharlto Copley",2000
649,"John Doman",616
650,"Emily Osment",1000
651,"Elizabeth Daily",971
652,"George Carlin",769
653,"Hope Davis",442
654,"Cory Hardrict",303
655,"Zach Gilford",971
656,"Josh Charles",1000
657,"Tina Fey",2000
658,"Antony Starr",506
659,"Kurt Fuller",617
660,"Brenda Song",1000
661,"Patrick Macnee",1000
662,"Mark Gatiss",567
663,"Kate Upton",971
664,"Mehcad Brooks",696
665,"Edgar Arreola",455
666,"Alyson Stoner",2000
667,"Faizon Love",585
668,"Danny Huston",430
669,"Carmen Electra",869
670,"Yaphet Kotto",581
671,"Jessica Barden",157
672,"Brian Thompson",663
673,"Debi Mazar",680
674,"Devin Ratray",1000
675,"Craig Ferguson",759
676,"Warren Beatty",631
677,"Tika Sumpter",521
678,"Rainn Wilson",973
679,"Sarah Polley",900
680,"Eddie Cibrian",849
681,"Jessica ParŞ¸",489
682,"Grace Phipps",596
683,"Saffron Burrows",811
684,"Ian Whyte",473
685,"Annabella Sciorra",448
686,"Şãlafur Darri Şãlafsson",147
687,"Tyler Labine",779
688,"Emir Kusturica",2000
689,"Emily Watson",876
690,"Dong-gun Jang",489
691,"Steve Howey",826
692,"Louise Bourgoin",295
693,"Paz Vega",963
694,"Konstantin Khabenskiy",114
695,"Sandra Ellis Lafferty",523
696,"Amanda Schull",757
697,"Lisa Edelstein",955
698,"Dick Clark",504
699,"Aldis Hodge",559
700,"Joe Lo Truglio",833
701,"Eddie Cahill",639
702,"Shun Oguri",173
703,"Julian Glover",844
704,"Lilli Lavine",11
705,"Mia Sara",664
706,"David Lyons",576
707,"Vinessa Shaw",580
708,"ZoŞ€ Kravitz",943
709,"Elizabeth McGovern",553
710,"Bianca Kajlich",731
711,"Talulah Riley",422
712,"Philip Baker Hall",497
713,"Jacques Perrin",63
714,"Samaire Armstrong",806
715,"Scott Grimes",738
716,"Mara Wilson",1000
717,"Dominic Flores",1000
718,"Matt Smith",2000
719,"Tenzin Thuthob Tsarong",2
720,"Louis Jourdan",594
721,"Harold Ramis",11000
722,"Richard Wilson",358
723,"Phil Davis",386
724,"Ellen Burstyn",1000
725,"John Belushi",1000
726,"America Ferrera",953
727,"Dolly Parton",1000
728,"Sharon Small",66
729,"Gerald McRaney",523
730,"Jackie Gleason",491
731,"Piper Laurie",303
732,"Harry Lennix",748
733,"Meat Loaf",783
734,"Kim-Marie Woodhouse",5
735,"Erick Avari",567
736,"Rob McElhenney",813
737,"Ryan O'Neal",385
738,"Robert Pine",332
739,"Sarah Carter",748
740,"Daniel Roebuck",1000
741,"Pam Ferris",771
742,"Rip Torn",826
743,"Christopher Lambert",1000
744,"David Conrad",642
745,"Woody Allen",11000
746,"Paul Hogan",442
747,"Christo Jivkov",260
748,"Luke Bracey",775
749,"Katharine Isabelle",918
750,"Cara Delevingne",554
751,"Mike Vogel",2000
752,"Kevin Nash",642
753,"Bruce McGill",655
754,"Lena Olin",541
755,"Mary Lynn Rajskub",934
756,"Bailee Madison",3000
757,"Lee Remick",264
758,"Chelan Simmons",440
759,"Blythe Danner",713
760,"Darcy Donavan",640000
761,"Kelly Preston",742
762,"Heather Locklear",695
763,"Jim Meskimen",272
764,"Dave Chappelle",744
765,"Nicki Aycox",296
766,"Lily Atkinson",328
767,"Nicholas Gonzalez",601
768,"Fanny Ardant",288
769,"Alexis Arquette",285
770,"Joseph Cotten",469
771,"Ari Graynor",904
772,"Jere Burns",460
773,"Connie Ray",90
774,"Aimee Garcia",618
775,"Justin Fletcher",45
776,"Claudia Christian",462
777,"Tyler James Williams",931
778,"Dianne Wiest",967
779,"Stephen Dillane",577
780,"Frank Langella",902
781,"Laura Ramsey",960
782,"Mark Valley",774
783,"Frank Grillo",798
784,"Chris Marquette",355
785,"Martin Starr",985
786,"Sissy Spacek",874
787,"Chris Zylka",963
788,"Frank Finlay",338
789,"Marco TreviŞño",562
790,"Victor Wong",400
791,"Dany Boon",172
792,"Tom Berenger",854
793,"John Doe",181
794,"Kyra Sedgwick",941
795,"Alexander SkarsgŞïrd",10000
796,"Brian Bosworth",174
797,"Tanya Roberts",433
798,"Cheech Marin",843
799,"Donald Faison",927
800,"Don McKellar",45
801,"Dallas Barnett",473
802,"Zoe Kazan",962
803,"FranŞÏois Cluzet",541
804,"Scout Taylor-Compton",908
805,"Yolande Moreau",44
806,"Sergey Garmash",21
807,"Rod Steiger",279
808,"Siu-Wong Fan",79
809,"Minnie Driver",893
810,"Gerry Bednob",218
811,"Lena Horne",738
812,"Willie Garson",512
813,"Donald Pleasence",742
814,"Seymour Cassel",327
815,"Judith Barsi",912
816,"Tasha Smith",721
817,"Alessandro Nivola",527
818,"Tom Burke",201
819,"Cole Hauser",787
820,"Romola Garai",805
821,"Bingbing Fan",556
822,"Drew Powell",129
823,"Joan Rivers",1000
824,"Cem Yilmaz",523
825,"Louis Lombardi",436
826,"Manish Dayal",820
827,"Roma Downey",329
828,"Sophia Myles",955
829,"Denis O'Hare",896
830,"Carlos Ponce",591
831,"Jack Reynor",390
832,"Radivoje Bukvic",150
833,"Amanda Detmer",240
834,"Zachary Gordon",975
835,"Rock Hudson",638
836,"Ed Skrein",805
837,"Gary Lewis",203
838,"Romain Duris",809
839,"Pablo Rago",20
840,"Ornella Muti",385
841,"Paige Turco",533
842,"Hunter Parrish",2000
843,"Omari Hardwick",1000
844,"Jason London",711
845,"Chris Harrison",98
846,"Elaine Hendrix",670
847,"Bob Balaban",559
848,"Ian Somerhalder",16000
849,"Dean Stockwell",936
850,"Angus T. Jones",1000
851,"Bam Margera",608
852,"Mackenzie Foy",6000
853,"Miranda Cosgrove",2000
854,"Shailene Woodley",8000
855,"Leonard Roberts",962
856,"Sam Claflin",11000
857,"John Amos",982
858,"Barry Watson",526
859,"Kath Soucie",304
860,"Lamman Rucker",607
861,"Billy Crudup",745
862,"Richard Lawson",508
863,"Violante Placido",978
864,"Jon Seda",565
865,"Diedrich Bader",759
866,"Jeremy Shada",860
867,"Gunnar Hansen",383
868,"William McNamara",10000
869,"Marisa Saks",31000
870,"Peter Firth",141
871,"Isaiah Washington",534
872,"Sela Ward",812
873,"Johnny Lewis",741
874,"Kay Panabaker",720
875,"Jay Laga'aia",125
876,"Leighton Meester",3000
877,"Kevin Sussman",681
878,"Kurtwood Smith",1000
879,"Samira Wiley",646
880,"Sheryl Lee",2000
881,"Pablo Sevilla",0
882,"Janet Leigh",606
883,Mako,691
884,"Radha Mitchell",991
885,"Shengyi Huang",264
886,"Leah Remini",909
887,"Mustafa Haidari",283
888,"Thomas Lennon",651
889,"Andy Dick",302
890,"Ronald Reagan",1000
891,"Andrew Fiscella",137000
892,"James Callis",541
893,"Aasif Mandvi",346
894,"Taylor Cole",969
895,"Quinton Aaron",734
896,"Aisha Tyler",856
897,"Scott Baio",650
898,"Debbie Reynolds",786
899,"Sammy Davis Jr.",683
900,"Martin Dew",204
901,"Chris Brown",997
902,"Chriss Anglin",885
903,"Kevin Alejandro",1000
904,"Catherine Lough Haggquist",310
905,"Cameron Bright",829
906,"Landon Liboiron",1000
907,"Dylan Authors",20
908,"Isabelle Adjani",572
909,"Steve Guttenberg",801
910,"Donny Boaz",2000
911,"Damon Wayans",836
912,"William Hootkins",488
913,"Esai Morales",699
914,"Jiao Xu",46
915,"Christian Clavier",106
916,"Marco St. John",403
917,"Peter Vaughan",310
918,"Necar Zadegan",344
919,"Andy Lau",483
920,"Mani Bharathi",109
921,"Joey D. Vieira",729
922,"Moritz Bleibtreu",486
923,"Mary McDonnell",933
924,"Dan Byrd",1000
925,"David Arquette",611
926,"Scatman Crothers",888
927,"Jeffrey Combs",885
928,"Eric Mendenhall",607
929,"Kari J. Kramer",731
930,"Taran Killam",500
931,"Mem Ferda",31000
932,"Nicole 'Snooki' Polizzi",341
933,"Bunta Sugawara",17
934,"Katrina Bowden",948
935,"Darci Kistler",2
936,"Tony Nappo",654
937,"Louis Koo",82
938,"Craig Roberts",920
939,Luenell,332
940,"Linda Cardellini",2000
941,"Craig T. Nelson",723
942,"Nia Vardalos",567
943,"Shane Black",1000
944,"Jeffrey Jones",692
945,"Raoul Bova",727
946,"Kristin Scott Thomas",1000
947,"Peter Gallagher",828
948,"Sally Hawkins",594
949,"Christian Clemenson",97
950,"Christian Monzon",2000
951,"Hulk Hogan",844
952,"Bob Newhart",643
953,"Collette Wolfe",390
954,"Nicholas Rowe",155
955,"Kelsey Grammer",808
956,"Alan Ruck",946
957,"Jason Robards",372
958,"Nancy Allen",517
959,"Rebecca Budig",210
960,"Joan Allen",805
961,"Yaya DaCosta",712
962,"David Margulies",567
963,"Ian McDiarmid",1000
964,"David Masterson",577
965,"Tadanobu Asano",627
966,"Barry Bostwick",456
967,"Julie Christie",597
968,"Bruce Greenwood",989
969,"Poppy Montgomery",654
970,"Ulrich Tukur",63
971,"James Hetfield",364
972,"Austin Nichols",663
973,"Edgar RamŞ_rez",897
974,"Takuya Kimura",84
975,"Greg Nicotero",1000
976,"Ernie Reyes Jr.",444
977,"Vanessa Ferlito",923
978,"Jason Momoa",11000
979,"Cassie Ventura",158
980,"Henry Ian Cusick",866
981,"Jennifer Hudson",549
982,"Kirk Fox",109
983,"Fionnula Flanagan",482
984,"Jeremy Brett",453
985,"Virginia Madsen",912
986,"Chris Moss",33000
987,"Emmanuelle Vaugier",1000
988,"Kevin Grevioux",593
989,"Morgan Saylor",427
990,T.I.,680
991,"Thomas F. Wilson",690
992,"Ava Gardner",715
993,"Lou Taylor Pucci",394
994,"DeRay Davis",328
995,"Aidan Quinn",767
996,"Tippi Hedren",634
997,"Brenda Fricker",214
998,"Julianna Guill",465
999,"Hal Holbrook",826
1000,"Danny Strong",714
