director_id,director_name,director_facebook_like
1,"James Cameron",0
2,"Gore Verbinski",563
3,"Sam Mendes",0
4,"Christopher Nolan",22000
5,"Doug Walker",131
6,"Andrew Stanton",475
7,"Sam Raimi",0
8,"Nathan Greno",15
9,"Joss Whedon",0
10,"David Yates",282
11,"Zack Snyder",0
12,"Bryan Singer",0
13,"Marc Forster",395
14,"Andrew Adamson",80
15,"Rob Marshall",252
16,"Barry Sonnenfeld",188
17,"Peter Jackson",0
18,"Marc Webb",464
19,"Ridley Scott",0
20,"Chris Weitz",129
21,"Anthony Russo",94
22,"Peter Berg",532
23,"Colin Trevorrow",365
24,"Shane Black",1000
25,"Tim Burton",13000
26,"Brett Ratner",420
27,"Dan Scanlon",37
28,"Michael Bay",0
29,"Joseph Kosinski",364
30,"John Lasseter",487
31,"Martin Campbell",258
32,"Lee Unkrich",125
33,McG,368
34,"James Wan",0
35,"J.J. Abrams",14000
36,"Baz Luhrmann",1000
37,"Mike Newell",179
38,"Guillermo del Toro",0
39,"Steven Spielberg",14000
40,"Peter Sohn",113
41,"Mark Andrews",56
42,"Justin Lin",681
43,"Roland Emmerich",776
44,"Robert Zemeckis",0
45,"Lana Wachowski",0
46,"Pete Docter",0
47,"Rob Letterman",11
48,"Jon Favreau",4000
49,"Martin Scorsese",17000
50,"Rob Cohen",357
51,"David Ayer",452
52,"Tom Shadyac",293
53,"Doug Liman",218
54,"Kevin Reynolds",58
55,"Stephen Sommers",208
56,"Rupert Sanders",274
57,"Robert Stromberg",171
58,"Matt Reeves",198
59,"Roland Joffí©",596
60,"Carl Rinsch",47
61,"Mike Mitchell",31
62,"Brad Bird",663
63,"Don Hall",38
64,"Rich Moore",66
65,"Dean DeBlois",255
66,"Jonathan Mostow",84
67,"James Gunn",571
68,"Hideaki Anno",28
69,"David Fincher",21000
70,"Matthew Vaughn",905
71,"Francis Lawrence",508
72,"Jon Turteltaub",226
73,"Wolfgang Petersen",249
74,"James Bobin",33
75,"Chris Miller",50
76,"Duncan Jones",0
77,"Alan Taylor",230
78,"Michael Apted",150
79,"Oliver Stone",0
80,"Eric Darnell",35
81,"Shawn Levy",189
82,"Gavin Hood",151
83,"Chris Buck",69
84,"George Miller",750
85,"Ron Howard",2000
86,"Kenneth Branagh",0
87,"Byron Howard",59
88,"Hoyt Yeatman",12
89,"Jonathan Liebesman",473
90,"Christopher McQuarrie",188
91,"Joe Johnston",394
92,"Steve Hickner",58
93,"Jennifer Yuh Nelson",90
94,"M. Night Shyamalan",0
95,"Simon Wells",25
96,"David Bowers",42
97,"Joe Wright",456
98,"Rob Minkoff",50
99,"Lee Tamahori",93
100,"Paul Feig",176
101,"Alessandro Carloni",5
102,"Peter Ramsey",52
103,"Dean Parisot",23
104,"Edward Zwick",380
105,"Alex Proyas",295
106,"Richard Donner",503
107,"Ang Lee",0
108,"Jon M. Chu",209
109,"Breck Eisner",42
110,"Hironobu Sakaguchi",6
111,"Peter Weir",608
112,"Bill Condon",386
113,"Louis Leterrier",255
114,"Micheael Mann",0
115,"Alejandro G. Ií±íçrritu",0
116,"David Soren",13
117,"Paul Greengrass",521
118,"Mark Osborne",54
119,"Peyton Reed",235
120,"Tim Johnson",12
121,"Phillip Noyce",176
122,"Darren Aronofsky",0
123,"Alfonso Cuarí_n",0
124,"Eric Leighton",0
125,"Matt Birch",0
126,"Tom McGrath",96
127,"Chris Columbus",0
128,"Robert Schwentke",124
129,"Carlos Saldanha",107
130,"Guy Ritchie",0
131,"Paul Verhoeven",719
132,"John McTiernan",323
133,"Tony Gilroy",209
134,"Joel Schumacher",541
135,"John Woo",610
136,"Tim Story",167
137,"Mark Steven Johnson",160
138,"Neill Blomkamp",662
139,"David Twohy",123
140,"Josí© Padilha",294
141,"James L. Brooks",274
142,"James Mangold",446
143,"George Lucas",0
144,"Kirk De Micco",16
145,"Frí©dí©ric Forestier",0
146,"Cedric Nicolas-Troyan",19
147,"Roger Donaldson",79
148,"Dave Green",13
149,"Josh Trank",128
150,"Brad Peyton",62
151,"Roger Spottiswoode",55
152,"Steven Soderbergh",0
153,"Michel Gondry",1000
154,"Noam Murro",263
155,"Raja Gosnell",67
156,"Will Finn",6
157,"Jan de Bont",101
158,"Len Wiseman",235
159,"Frank Coraci",153
160,"Michael Mann",0
161,"Bo Welch",34
162,"Ron Clements",63
163,"Christopher Barnard",0
164,"Peter Chelsom",23
165,"Dominic Sena",57
166,"Tony Scott",12000
167,"Paul Weitz",80
168,"Adam McKay",285
169,"Chuck Russell",55
170,"Quentin Tarantino",16000
171,"Gary Trousdale",21
172,"Mark Dindal",10
173,"Simon West",165
174,"Stefen Fangmeier",14
175,"Spike Jonze",0
176,"Chris Wedge",77
177,"Florian Henckel von Donnersmarck",207
178,"Peter Hyams",0
179,"Tom Tykwer",670
180,Pitof,26
181,"Brad Silberling",52
182,"Patrick Hughes",385
183,"Ericson Core",19
184,"Lawrence Guterman",6
185,"Ron Underwood",31
186,"Steve Martino",20
187,"David Mamet",342
188,"Yimou Zhang",611
189,"Ash Brannon",9
190,"Frank Oz",0
191,"Jay Roach",116
192,"Luc Besson",0
193,"Michael Patrick King",127
194,"Bibo Bergeron",10
195,"Sergey Bodrov",44
196,"Wally Pfister",0
197,"Rupert Wyatt",81
198,"Mark Waters",70
199,"John Moore",212
200,"John Lee Hancock",102
201,"Renny Harlin",212
202,"Phil Lord",97
203,"Ben Stiller",0
204,"Tony Bancroft",7
205,"Timur Bekmambetov",335
206,"Walt Becker",12
207,"Dennis Dugan",221
208,"Sydney Pollack",521
209,"Thor Freudenthal",87
210,"Brian De Palma",0
211,"Mick Jackson",81
212,"Alan J. Pakula",79
213,"Kathryn Bigelow",0
214,"John Milius",468
215,"Andrey Konchalovskiy",96
216,"Gary Ross",378
217,"Paul W.S. Anderson",545
218,"Genndy Tartakovsky",266
219,"Kevin Lima",36
220,"Daniel Espinosa",79
221,"Nancy Meyers",278
222,"Roger Allers",28
223,"Neil Burger",168
224,"Jean-Jacques Annaud",218
225,"Sarah Smith",6
226,"Martin Brest",102
227,"Andrew Davis",99
228,"Bob Fosse",189
229,"Tarsem Singh",763
230,"Edgar Wright",1000
231,"Jon Amiel",36
232,"Peter Segal",88
233,"Pete Travis",38
234,"George A. Romero",0
235,"Sylvester Stallone",13000
236,"Todd Phillips",480
237,"Gary Winick",56
238,"Mimi Leder",75
239,"Seth Gordon",91
240,"Adam Shankman",163
241,"D.J. Caruso",154
242,"Anthony Minghella",333
243,"Albert Hughes",117
244,"Les Mayfield",10
245,"Joe Pytka",30
246,"Scott Derrickson",301
247,"Ivan Reitman",425
248,"Eric Brevig",40
249,"Kelly Asbury",21
250,"Stephen Hopkins",81
251,"Jonathan Demme",438
252,"Henry Jaglom",69
253,"James Algar",11
254,"Vincent Ward",25
255,"Steven Brill",65
256,"Terry Gilliam",0
257,"Lucile Hadzihalilovic",92
258,"Barry Cook",43
259,"Roger Christian",64
260,"Joe Dante",287
261,"Kevin Costner",0
262,"Antony Hoffman",14
263,"Jacques Perrin",63
264,"Andrí©s Couturier",0
265,"Cody Cameron",18
266,"John Singleton",309
267,"Oliver Hirschbiegel",101
268,"Des McAnuff",5
269,"Yarrow Cheney",11
270,"Stephen Norrington",45
271,"Pierre Coffin",275
272,"David Kellogg",16
273,"Mike Nichols",0
274,"F. Gary Gray",473
275,"Antoine Fuqua",845
276,"Robert Luketic",126
277,"Gil Kenan",27
278,"Barry Levinson",272
279,"Jerry Zucker",109
280,"Andy Tennant",72
281,"Florent-Emilio Siri",17
282,"Don Bluth",383
283,"Ron Shelton",41
284,"David Pastor",10
285,"Henry Selick",253
286,"Kyle Balda",22
287,"Clay Kaytis",6
288,"Judd Apatow",0
289,"Steve Carr",41
290,"Mel Gibson",0
291,"David Silverman",30
292,"Frank Darabont",0
293,"Betty Thomas",84
294,"Garry Marshall",0
295,"Paul Tibbitt",5
296,"Clark Johnson",69
297,"Cameron Crowe",488
298,"Randall Wallace",130
299,"Jonathan Frakes",906
300,"George Clooney",0
301,"Gary Shore",28
302,"Andrzej Bartkowiak",43
303,"Mí«ns Mí«rlind",24
304,"Gregory Hoblit",40
305,"Gary McKendry",5
306,"Wych Kaosayananda",8
307,"Mikael Salomon",13
308,"Bobby Farrelly",101
309,"Kerry Conran",14
310,"Michael Caton-Jones",105
311,"Mikael Hí«fstrí?m",101
312,"Phil Alden Robinson",31
313,"David Slade",171
314,"Joseph Ruben",29
315,"Seth MacFarlane",3000
316,"Alejandro Ameníçbar",448
317,"Kinka Usher",18
318,"Craig Gillespie",44
319,"Rob Bowman",38
320,"Doug Lefler",4
321,"Scott Waugh",76
322,"Lawrence Kasdan",759
323,"Michael Lembeck",54
324,"Tom Hooper",0
325,"Nora Ephron",0
326,"Angelina Jolie Pitt",11000
327,"Clint Eastwood",16000
328,"Larry Charles",119
329,"Stanley Kubrick",0
330,"Will Gluck",87
331,"Glenn Ficarra",43
332,"David S. Goyer",687
333,"Taylor Hackford",138
334,"Michael Lehmann",36
335,"Stuart Beattie",72
336,"Roman Polanski",2000
337,"Frank Miller",436
338,"Baltasar Kormíçkur",175
339,"Daniel Lee",10
340,"Keenen Ivory Wayans",322
341,"Rob Reiner",0
342,"Marco Schnabel",12
343,"Demian Lichtenstein",11
344,"Josh Gordon",8
345,"Tim Hill",25
346,"David Frankel",64
347,"Brenda Chapman",59
348,"Marc Lawrence",30
349,"Peter Billingsley",0
350,"Wes Ball",47
351,"Ryan Murphy",708
352,"Robert Redford",0
353,"Jay Russell",13
354,"Kenny Ortega",197
355,"David McNally",18
356,"Brian Robbins",48
357,"Brian Levant",32
358,"Steven Zaillian",234
359,"Chris Butler",28
360,"Jon Avnet",50
361,"Sam Fell",18
362,"Kevin Donovan",11
363,"Geoff Murphy",14
364,"David O. Russell",737
365,"Babak Najafi",24
366,"Jean-Pierre Jeunet",0
367,"Graham Annable",7
368,"Griffin Dunne",165
369,"John Pasquin",11
370,"Ruben Fleischer",181
371,"Harold Ramis",11000
372,"Kevin Macdonald",162
373,"Donald Petrie",80
374,"Jorge Blanco",2
375,"Stuart Baird",53
376,"Joel Coen",0
377,"Robert Lorenz",39
378,"Harold Becker",17
379,"Scott Stewart",124
380,"Patrick Gilmore",0
381,"Tony Bill",23
382,"Rod Lurie",37
383,"Walter Hill",394
384,"Akiva Goldsman",167
385,"Harald Zwart",91
386,"Walter Salles",179
387,"Iain Softley",34
388,"David Koepp",192
389,"Uwe Boll",892
390,"Pou-Soi Cheang",3
391,"John Dahl",131
392,"Tim Miller",84
393,"Stephen Herek",65
394,"Peter MacDonald",10
395,"Anthony Hemingway",143
396,"Sean Anders",51
397,"Mark Neveldine",83
398,"John Madden",108
399,"Kevin Bray",10
400,"Mike Gabriel",12
401,"Sam Weisman",39
402,"Jesse Dylan",58
403,"Wayne Wang",61
404,"Gabriele Muccino",125
405,"Tom Dey",9
406,"Jimmy Hayward",39
407,"Alan Parker",317
408,"John Frankenheimer",287
409,"Paul King",17
410,"Akiva Schaffer",82
411,"William Friedkin",607
412,"Kent Alterman",3
413,"Peter Lord",91
414,"Shekhar Kapur",159
415,"Karyn Kusama",45
416,"Ron Maxwell",33
417,"Robert Butler",0
418,"Karey Kirkpatrick",11
419,"Steve Antin",59
420,"Jim Gillespie",13
421,"Francis Ford Coppola",0
422,"Richard Lester",44
423,"Scott Cooper",108
424,"Robert Rodriguez",0
425,"Curtis Hanson",161
426,"Phyllida Lloyd",58
427,"Jay Chandrasekhar",422
428,"Terrence Malick",0
429,"David Dobkin",71
430,"Milos Forman",869
431,"Pierre Morel",180
432,"Paul Hunter",13
433,"Steve Oedekerk",176
434,"John Whitesell",14
435,"George Nolfi",53
436,"Neil Jordan",277
437,"Rawson Marshall Thurber",43
438,"Spike Lee",0
439,"Brian Helgeland",241
440,"Frank Marshall",155
441,"Hideo Nakata",62
442,"Peter Hewitt",12
443,"Joe Roth",148
444,"Bennett Miller",152
445,"Jaume Collet-Serra",174
446,"Andy Fickman",99
447,"James McTeigue",160
448,"Matthew O'Callaghan",5
449,"Angela Robinson",23
450,"Gary Fleder",39
451,"Tommy Wirkola",75
452,"Adrian Lyne",213
453,"Stephen Gaghan",79
454,"Jorge R. Gutií©rrez",34
455,"Richard Loncraine",12
456,"Christophe Gans",50
457,"Howard Deutch",41
458,"Jon Hurwitz",22
459,"Steven Quale",77
460,"John Landis",644
461,"Alexander Witt",38
462,"Beeban Kidron",17
463,"Carl Franklin",73
464,"Steven Seagal",0
465,"Danny Boyle",0
466,"Andrew Bergman",31
467,"Barbet Schroeder",58
468,"Peter Webber",73
469,"Andrew Niccol",487
470,"John Carpenter",0
471,"Wes Anderson",0
472,"David Cronenberg",0
473,"John Stockwell",134
474,"David Gordon Green",234
475,"Jim Sheridan",260
476,Costa-Gavras,333
477,"Patrick Read Johnson",32
478,"Richard LaGravenese",98
479,"Danny DeVito",0
480,"George Armitage",5
481,"Patrick Lussier",71
482,"James Wong",70
483,"Richard Curtis",628
484,"Chuck Bowman",42
485,"Olivier Megaton",118
486,"Deepa Mehta",375
487,"Warren Beatty",631
488,"Penny Marshall",545
489,"Ted Kotcheff",270
490,"Andrei Tarkovsky",0
491,"Paul Bolger",0
492,"Stephen Frears",350
493,"P.J. Hogan",29
494,"Brad Furman",65
495,"Terence Young",92
496,"David Zucker",119
497,"Denis Villeneuve",777
498,"Thomas Carter",49
499,"Roger Michell",50
500,"Luis Llosa",49
501,"Melville Shavelson",5
502,"Garth Jennings",37
503,"Joel Zwick",38
504,"Russell Mulcahy",85
505,"David R. Ellis",160
506,"Peter Howitt",29
507,"John A. Davis",8
508,"David Lynch",0
509,"Julie Taymor",278
510,"Mathieu Kassovitz",326
511,"John Gray",29
512,"John Schultz",13
513,"Sean Penn",0
514,"Susan Stroman",38
515,"Simon Wincer",23
516,"Billy Bob Thornton",0
517,"Danny Pang",15
518,"George P. Cosmatos",170
519,"Oliver Parker",32
520,"Lawrence Kasanoff",11
521,"Ben Affleck",0
522,"Brian Gibson",13
523,"Norman Ferguson",3
524,"Michael Cimino",517
525,"Paul McGuigan",118
526,"Gus Van Sant",835
527,"Roger Kumble",16
528,"Burr Steers",23
529,"John Hamburg",29
530,"Reginald Hudlin",71
531,"Joseph L. Mankiewicz",311
532,"Barbra Streisand",0
533,"Mark Pellington",89
534,"John Glen",46
535,"Catherine Hardwicke",308
536,"John Herzfeld",17
537,"Annabel Jankel",5
538,"Julie Anne Robinson",30
539,"Evan Goldberg",133
540,"Sngmoo Lee",19
541,"Jamel Debbouze",326
542,"Gordon Chan",4
543,"Asger Leth",20
544,"John G. Avildsen",80
545,"Anne Fletcher",98
546,"Bruce Beresford",78
547,"Sam Taylor-Johnson",456
548,"Ken Kwapis",42
549,"Wes Craven",0
550,"Etan Cohen",164
551,"Nick Cassavetes",415
552,"Nicholas Stoller",89
553,"Mark A.Z. Dippí©",20
554,"Cal Brunker",7
555,"Nimrí_d Antal",190
556,"Alejandro Agresti",18
557,"Peter Hedges",54
558,"Paul Weiland",10
559,"Colin Strause",25
560,"Joan Chen",643
561,"Greg Mottola",99
562,"Jake Kasdan",52
563,"Diane Keaton",0
564,"Kelly Makin",6
565,"Stephen Daldry",335
566,"Christian Duguay",18
567,"Justin Chadwick",56
568,"Pat O'Connor",7
569,"Frederik Du Chau",7
570,"Irwin Winkler",34
571,"Joseph Kahn",33
572,"Sofia Coppola",0
573,"Stephen Kay",19
574,"J.A. Bayona",171
575,"Elaine May",124
576,"Dennie Gordon",29
577,"Charles Shyer",14
578,"Ulu Grosbard",22
579,"William Malone",37
580,"Malcolm D. Lee",92
581,"Jerry Jameson",5
582,"Mic Rodgers",7
583,"Christian Alvart",22
584,"Jean-Marie Poirí©",8
585,"Marc F. Adler",0
586,"Geoffrey Sax",13
587,"Richard Shepard",47
588,"Peter Ho-Sun Chan",31
589,"Joon-ho Bong",584
590,"Jeff Nathanson",23
591,"S.S. Rajamouli",50
592,"Charles S. Dutton",534
593,"Jonathan Lynn",36
594,"David Carson",18
595,"Kar-Wai Wong",0
596,"Yuefeng Song",0
597,"Norman Jewison",278
598,"David Mirkin",7
599,"Luis Mandoki",43
600,"Lee Daniels",304
601,"Jeb Stuart",11
602,"Steve Miner",49
603,"Paul Thomas Anderson",0
604,"David Leland",2
605,"J Blakeson",5
606,"Ryan Coogler",0
607,"Kirk Jones",52
608,"Ethan Coen",1000
609,"Jennifer Flackett",3
610,"Kevin Smith",0
611,"Christian Ditter",11
612,"Charles Martin Smith",188
613,"Fedor Bondarchuk",35
614,"Irvin Kershner",883
615,"Steve Pink",38
616,"Scott Hicks",96
617,"Chris Rock",0
618,"Wilson Yip",25
619,"Robert Wise",338
620,"Kevin Rodney Sullivan",8
621,"Kevin Munroe",14
622,"Michael Tollin",19
623,"Patrick Tatopoulos",148
624,"Gary David Goldberg",30
625,"Tobe Hooper",365
626,"Alan Poul",16
627,"Luke Greenfield",42
628,"Gil Junger",19
629,"Michael Ritchie",23
630,"Steven E. de Souza",133
631,"Alexandre Aja",192
632,"Michael Rymer",48
633,"Hugh Wilson",37
634,"Mike Hodges",24
635,"Scott Mann",8
636,"Susanna White",24
637,"Chris Carter",251
638,"Tommy O'Haver",13
639,"Peter Landesman",15
640,"Gary Chapman",2
641,"Craig Mazin",82
642,"Allen Hughes",90
643,"Kimble Rendall",0
644,"Peter Yates",170
645,"Lasse Hallstrí?m",529
646,"Jean-Marc Vallí©e",212
647,"Hark Tsui",85
648,"David Ayer",453
649,"Lexi Alexander",189
650,"Ronny Yu",31
651,"Bille August",55
652,"Moustapha Akkad",278
653,"Jean-Paul Rappeneau",22
654,"Joachim RíŸnning",18
655,"Tony Kaye",194
656,"Ken Scott",31
657,"Hugh Johnson",3
658,"Hayao Miyazaki",6000
659,"George Tillman Jr.",88
660,"Rand Ravich",7
661,"Hugh Hudson",46
662,"Jeremy Degruson",0
663,"Chris Gorak",21
664,"Scott Speer",35
665,"Joe Charbanic",10
666,"Jonathan Hensleigh",36
667,"Danny Cannon",41
668,"Boaz Yakin",132
669,"Richard Marquand",37
670,"Neil Marshall",197
671,"David Wain",136
672,"Jared Hess",100
673,"Rupert Wainwright",9
674,"John Luessenhop",34
675,"Justin Zackham",16
676,"John Gatins",61
677,"Miguel Sapochnik",238
678,"Hyung-rae Shim",26
679,"Don Scardino",35
680,"Tim Robbins",0
681,"Tom Reeve",0
682,"Nanette Burstein",8
683,"Ariel Vromen",34
684,"Lewis Gilbert",43
685,"John Francis Daley",0
686,"J.B. Rogers",6
687,"Michael Sucsy",23
688,"Tom Vaughan",12
689,"Stephen Hillenburg",47
690,"Stig Bergqvist",0
691,"Jason Reitman",655
692,"Alexander Payne",729
693,"Jonathan Levine",129
694,"Rian Johnson",0
695,"Chris Noonan",108
696,"Michael McCullers",5
697,"Forest Whitaker",0
698,"Woody Allen",11000
699,"Peter Lepeniotis",7
700,"Ted Demme",47
701,"William Shatner",0
702,"Steve Box",9
703,"James Gartner",0
704,"Lee Toland Krieger",43
705,"Tim McCanlies",23
706,"Drew Goddard",246
707,"Jason Friedberg",82
708,"Paul Michael Glaser",343
709,"John R. Leonetti",40
710,"Tom Hanks",15000
711,"Kimberly Peirce",108
712,"Liz Friedlander",3
713,"Phil Joanou",21
714,"Shane Acker",30
715,"Martha Coolidge",57
716,"Stephen J. Anderson",15
717,"Troy Miller",14
718,"Tate Taylor",150
719,"Brett Leonard",32
720,"Alister Grierson",24
721,"Nick Hurran",34
722,"Charles Stone III",30
723,"Paul Haggis",549
724,"Kurt Wimmer",110
725,"Jean-Franí?ois Richet",25
726,"Kevin Hooks",114
727,"Ellory Elkayem",11
728,"Niki Caro",51
729,"Vincenzo Natali",165
730,"Willard Huyck",8
731,"Gavin O'Connor",149
732,"Bruce Hunt",2
733,"Chris Roberts",38
734,"Jee-woon Kim",419
735,"Nick Hamm",6
736,"Andy Cadiff",3
737,"Mike Disa",6
738,"Richard J. Lewis",12
739,"Sergio Leone",0
740,"Niels Arden Oplev",76
741,"Michael Radford",53
742,"Steve Boyum",9
743,"Kaige Chen",45
744,"Corey Yuen",23
745,"Andrew Dominik",181
746,"Li Zhang",0
747,"Laurent Tirard",2
748,"Reinhard Klooss",7
749,"Frí©dí©ric Auburtin",18
750,"Olivier Dahan",61
751,"Maksim Fadeev",0
752,"Liliana Cavani",59
753,"Greg Tiernan",5
754,"Elizabeth Banks",0
755,"Edward Norton",0
756,"Ben Falcone",265
757,"Richard Attenborough",0
758,"Don Mancini",64
759,"John Maybury",11
760,"Igor Kovalyov",5
761,"Shinji Aramaki",21
762,"Miguel Arteta",44
763,"James Gray",115
764,"Janusz Kaminski",710
765,"Robert B. Weide",53
766,"Jeff Wadlow",65
767,"Agustí_n Dí_az Yanes",13
768,"Camille Delamarre",11
769,"David Lean",767
770,"Richard Eyre",14
771,"Nicholas Meyer",120
772,"Callie Khouri",144
773,"Sanaa Hamri",43
774,"Todd Graff",650
775,"Philip Kaufman",133
776,"Saul Dibb",10
777,"Walter Murch",181
778,"Richard Linklater",0
779,"E. Elias Merhige",54
780,"Menno Meyjes",43
781,"Jodie Foster",0
782,"Scott Frank",71
783,"Kevin Allen",8
784,"Michael Cristofer",49
785,"Andrew Morahan",5
786,"Bob Rafelson",30
787,"Michael Cohn",2
788,"Alan Shapiro",0
789,"Fernando Meirelles",353
790,"Michael Hoffman",97
791,"Oleg Stepchenko",0
792,"Michael Winterbottom",187
793,"Michael Pressman",34
794,"Sharon Maguire",11
795,"Charles Herman-Wurmfeld",0
796,"Gabor Csupo",47
797,"Tyler Perry",0
798,"Joe Carnahan",248
799,"John Polson",21
800,"Bernardo Bertolucci",973
801,"Cathy Malkasian",0
802,"John Eng",0
803,"Chris Nahon",20
804,"Fred Wolf",29
805,"Bille Woodruff",23
806,"Victor Salva",108
807,"Mark Helfrich",7
808,"Steve Bendelack",68
809,"Dwight H. Little",27
810,"Guillaume Canet",0
811,"Kirsten Sheridan",59
812,"Richard Fleischer",130
813,"Bob Spiers",14
814,"Damien Dante Wayans",82
815,"John Wells",53
816,"Tim Fywell",3
817,"Nigel Cole",13
818,"Dexter Fletcher",452
819,"Jeremy Leven",19
820,"Sylvain White",41
821,"Troy Nixey",24
822,"Philip G. Atwell",5
823,"Jeff Schaffer",17
824,"Don Michael Paul",70
825,"James Bridges",21
826,"Steve Barron",48
827,"Bill Paxton",0
828,"Richard Kelly",219
829,"Carter Smith",27
830,"John Schlesinger",154
831,"Ringo Lam",17
832,"Bruce McCulloch",54
833,"Patricia Riggen",36
834,"Pascal Chaumeil",8
835,"Jonathan Kaplan",57
836,"Ole Bornedal",30
837,"Richard Benjamin",121
838,"Craig R. Baxley",22
839,"John Hillcoat",214
840,"John Guillermin",71
841,"Marcos Siega",32
842,"Rachel Talalay",54
843,"Jeffrey W. Byrd",2
844,"Atom Egoyan",460
845,"Robert Towne",162
846,"Giuseppe Tornatore",911
847,"Werner Herzog",0
848,"Ben Stassen",4
849,"Jí©ríÇme Deschamps",0
850,"Inna Evlannikova",0
851,"Jonathan English",9
852,"Sergey Bondarchuk",27
853,"Teddy Chan",3
854,"Mario Van Peebles",535
855,"Leonard Nimoy",12000
856,"Herbert Ross",71
857,"Bonnie Hunt",597
858,"Neil LaBute",119
859,"Grant Heslov",293
860,"George Gallo",269
861,"Sidney Lumet",0
862,"Douglas McGrath",41
863,"Kevin Spacey",18000
864,"Richard Williams",18
865,"Mary McGuckian",6
866,"Tony Goldwyn",956
867,"Jonathan Newman",3
868,"Michael Dinner",12
869,"Joseph Sargent",114
870,"Jerry Zaks",4
871,"Fred Durst",258
872,"Anne Fontaine",105
873,"Jon Cassar",78
874,"Mira Nair",300
875,"Mel Brooks",0
876,"Russell Crowe",0
877,"Jessie Nelson",24
878,"Christopher Spencer",25
879,"Mike Bigelow",2
880,"Daniel Sackheim",12
881,"Harry Elfont",4
882,"Uli Edel",34
883,"Fred Dekker",87
884,"Brian Trenchard-Smith",53
885,"Blake Edwards",688
886,"Laurence Dunmore",2
887,"Christian Carion",13
888,"David Palmer",21
889,"Rowan Joffe",17
890,"John Curran",43
891,"Juan Josí© Campanella",195
892,"Trey Parker",406
893,"Stuart Gillard",8
894,"Katt Shea",52
895,"Joshua Michael Stern",0
896,"Tomas Alfredson",140
897,"John Duigan",18
898,"Colin Higgins",19
899,"Jim Sonzero",2
900,"Penelope Spheeris",122
901,"Jeff Tremaine",79
902,"Jeannot Szwarc",82
903,"Steve McQueen",0
904,"Thea Sharrock",17
905,"Jon Lucas",24
906,"Aaron Seltzer",64
907,"Robin Budd",2
908,"Ava DuVernay",151
909,"Steve Trenbirth",0
910,"Mennan Yapo",9
911,"Jun Falkenstein",25
912,"Tom McCarthy",310
913,"Takashi Shimizu",70
914,"Gary Nelson",20
915,"Anton Corbijn",210
916,"Gregory Nava",16
917,"John Patrick Shanley",53
918,"Joshua Logan",32
919,"Steve Beck",17
920,"Todd Strauss-Schulson",12
921,"John McNaughton",39
922,"Nelson McCormick",29
923,"Eric Valette",2
924,"Andrew Fleming",26
925,"Michael Spierig",35
926,"Jim Field Smith",14
927,"Thomas Bezucha",15
928,"William Brent Bell",19
929,"Anthony Bell",0
930,"Jessica Bendinger",31
931,"Henry Joost",24
932,"Ed Harris",0
933,"Alfred Hitchcock",13000
934,"Shana Feste",19
935,"Steve Rash",15
936,"Mike Binder",57
937,"Michael J. Bassett",83
938,"Frank Nissen",0
939,"Stephen Chow",0
940,"Peter Hastings",0
941,"Paul Abascal",2
942,"Chris Koch",13
943,"Amy Heckerling",143
944,"Michael Moore",909
945,"George Stevens",126
946,"Billy Ray",53
947,"Mark Mylod",20
948,"James Mather",4
949,"Michael O. Sajbel",6
950,"Charles T. Kanganis",18
951,"Damon Santostefano",4
952,"Bob Clark",84
953,"Dave Borthwick",3
954,"Benson Lee",9
955,"Glen Morgan",17
956,"Mike Leigh",608
957,"Alejandro Monteverde",38
958,"Jonathan Glazer",143
959,"J.C. Chandor",78
960,"Paul Gross",329
961,"Marc Abraham",18
962,"Todd Haynes",162
963,"Mabrouk El Mechri",19
964,"Charlie Kaufman",0
965,"Nancy Walker",42
966,"Angelo Pizzo",14
967,"Matthew Diamond",12
968,"Katsuhiro íîtomo",78
969,"David Anspaugh",25
970,"Andrew Jarecki",46
971,"Daniel Algrant",3
972,"Jane Clark",23
973,"Mike Barker",5
974,"Wayne Thornley",0
975,"Gnana Rajasekaran",0
976,"Tom Walsh",2
977,"Jonathan Jakubowicz",23
978,"Scott Walker",17
979,"Mark Rosman",15
980,"Rob Hawk",97
981,"Britt Allcroft",2
982,"Alan Yuen",0
983,"Brian Percival",33
984,"Anand Tucker",14
985,"Anthony Mann",75
986,"Michael Dowse",31
987,"Daniel Barnz",33
988,"Emile Ardolino",22
989,"Robert Altman",500
990,"James Schamus",44
991,"Andrew Douglas",15
992,"Ricky Gervais",0
993,"Vic Armstrong",179
994,"Terry Zwigoff",72
995,"Audrey Wells",22
996,"Rick Friedberg",8
997,"Sean McNamara",80
998,"Jody Hill",62
999,"Brandon Camp",7
1000,"Kevin Tancharoen",64
